Front	Back
aws sts get-caller-identity	<b>Syntax:</b> aws sts get-caller-identity [--endpoint-url <url>] [--profile <name>]<br><br><b>Description:</b> Returns details about the IAM identity whose credentials are used to call the operation.<br><br><b>Response:</b> JSON with UserId, Account, and Arn fields<br>Example: {""UserId"": ""AIDACKCEVSQ6C2EXAMPLE"", ""Account"": ""000000000000"", ""Arn"": ""arn:aws:iam::000000000000:user/ci-pipeline-user""}<br><br><b>Lab Example:</b> awslocal sts get-caller-identity
aws iam create-user --user-name <value>	<b>Syntax:</b> aws iam create-user --user-name <value> [--path <value>] [--tags <value>]<br><br><b>Description:</b> Creates a new IAM user for your AWS account. Does not create credentials - use create-access-key for that.<br><br><b>Response:</b> JSON with User object containing UserName, UserId, Arn, CreateDate, Path<br>Example: {""User"": {""UserName"": ""ci-pipeline-user"", ""UserId"": ""AIDAEXAMPLE"", ""Arn"": ""arn:aws:iam::000000000000:user/ci-pipeline-user""}}<br><br><b>Lab Example:</b> awslocal iam create-user --user-name ci-pipeline-user
aws iam get-user --user-name <value>	<b>Syntax:</b> aws iam get-user [--user-name <value>]<br><br><b>Description:</b> Retrieves information about the specified IAM user. If no user-name is specified, returns info about the user making the request.<br><br><b>Response:</b> JSON with User object containing UserName, UserId, Arn, CreateDate<br>Example: {""User"": {""UserName"": ""ci-pipeline-user"", ""Arn"": ""arn:aws:iam::000000000000:user/ci-pipeline-user""}}<br><br><b>Lab Example:</b> awslocal iam get-user --user-name ci-pipeline-user
aws iam create-access-key --user-name <value>	<b>Syntax:</b> aws iam create-access-key --user-name <value><br><br><b>Description:</b> Creates a new AWS access key and secret access key for the specified user. These are credentials for programmatic access to AWS.<br><br><b>Response:</b> JSON with AccessKey object containing AccessKeyId and SecretAccessKey (ONLY time secret is shown!)<br>Example: {""AccessKey"": {""AccessKeyId"": ""AKIAIOSFODNN7EXAMPLE"", ""SecretAccessKey"": ""wJalrXUtnFEMI/K7MDENG/bPxRfiCYEXAMPLEKEY""}}<br><br><b>Lab Example:</b> awslocal iam create-access-key --user-name ci-pipeline-user
aws iam list-access-keys --user-name <value>	<b>Syntax:</b> aws iam list-access-keys --user-name <value> [--max-items <value>]<br><br><b>Description:</b> Returns information about the access key IDs associated with the specified IAM user. Does NOT return secret keys.<br><br><b>Response:</b> JSON with AccessKeyMetadata array containing AccessKeyId, UserName, CreateDate, Status<br>Example: {""AccessKeyMetadata"": [{""AccessKeyId"": ""AKIAIOSFODNN7EXAMPLE"", ""Status"": ""Active"", ""CreateDate"": ""2024-01-15T10:30:00Z""}]}<br><br><b>Lab Example:</b> awslocal iam list-access-keys --user-name ci-pipeline-user
aws iam delete-access-key --user-name <value> --access-key-id <value>	<b>Syntax:</b> aws iam delete-access-key --user-name <value> --access-key-id <value><br><br><b>Description:</b> Deletes the access key pair associated with the specified IAM user. Immediately invalidates the credentials.<br><br><b>Response:</b> No output on success (HTTP 200)<br><br><b>Lab Example:</b> awslocal iam delete-access-key --user-name ci-pipeline-user --access-key-id AKIAIOSFODNN7EXAMPLE
aws iam create-policy --policy-name <value> --policy-document <value>	<b>Syntax:</b> aws iam create-policy --policy-name <value> --policy-document <value> [--description <value>]<br><br><b>Description:</b> Creates a new managed policy for your AWS account. Policy document can be inline JSON or file://path.<br><br><b>Response:</b> JSON with Policy object containing PolicyName, PolicyId, Arn, DefaultVersionId<br>Example: {""Policy"": {""PolicyName"": ""CIPipelinePolicy"", ""Arn"": ""arn:aws:iam::000000000000:policy/CIPipelinePolicy"", ""DefaultVersionId"": ""v1""}}<br><br><b>Lab Example:</b> awslocal iam create-policy --policy-name CIPipelinePolicy --policy-document file://policies/ci-pipeline-policy.json
aws iam list-policies --query <value>	<b>Syntax:</b> aws iam list-policies [--scope <Local|AWS|All>] [--query <JMESPath>] [--output <text|json|table>]<br><br><b>Description:</b> Lists all IAM policies. Use --scope Local for customer-managed, AWS for AWS-managed. Use --query for filtering.<br><br><b>Response:</b> JSON with Policies array containing PolicyName, Arn, Path, DefaultVersionId, CreateDate<br>Example with query: arn:aws:iam::000000000000:policy/CIPipelinePolicy (when using --query and --output text)<br><br><b>Lab Example:</b> awslocal iam list-policies --query ""Policies[?PolicyName=='CIPipelinePolicy'].Arn"" --output text
aws iam get-policy --policy-arn <value>	<b>Syntax:</b> aws iam get-policy --policy-arn <value><br><br><b>Description:</b> Retrieves information about the specified managed policy, including the policy's default version. Does NOT return the policy document itself.<br><br><b>Response:</b> JSON with Policy object containing PolicyName, Arn, DefaultVersionId, AttachmentCount, CreateDate<br>Example: {""Policy"": {""PolicyName"": ""CIPipelinePolicy"", ""Arn"": ""arn:aws:iam::000000000000:policy/CIPipelinePolicy"", ""DefaultVersionId"": ""v1""}}<br><br><b>Lab Example:</b> awslocal iam get-policy --policy-arn arn:aws:iam::000000000000:policy/CIPipelinePolicy
aws iam get-policy-version --policy-arn <value> --version-id <value>	<b>Syntax:</b> aws iam get-policy-version --policy-arn <value> --version-id <value><br><br><b>Description:</b> Retrieves the actual policy document (JSON) for the specified version of the managed policy. Use this to see the permissions.<br><br><b>Response:</b> JSON with PolicyVersion object containing Document (the actual policy JSON), VersionId, IsDefaultVersion<br>Example: {""PolicyVersion"": {""Document"": {""Version"": ""2012-10-17"", ""Statement"": [...]}, ""VersionId"": ""v1"", ""IsDefaultVersion"": true}}<br><br><b>Lab Example:</b> awslocal iam get-policy-version --policy-arn arn:aws:iam::000000000000:policy/CIPipelinePolicy --version-id v1
